red_fighter_name;blue_fighter_name;event_date;red_fighter_total_pts;blue_fighter_total_pts
STEPHEN THOMPSON;JOAQUIN BUCKLEY;05/10/2024;19 18 20;19 20 18
RAQUEL PENNINGTON;JULIANNA PENA;05/10/2024;47 48 47;48 47 48
JOSE ALDO;MARIO BAUTISTA;05/10/2024;28 28 29;29 29 28
KETLEN VIEIRA;KAYLA HARRISON;05/10/2024;27 27 28;30 30 29
ROMAN DOLIDZE;KEVIN HOLLAND;05/10/2024;10 10 10;9 9 8
DARRICK MINNER;SHAYILAN NUERDANBIEKE;05/11/2022;- - -;- - -
LIUDVIK SHOLINIAN;JOHNNY MUNOZ;05/11/2022;28 27 27;29 30 30
POLYANA VIANA;JINH YU FREY;05/11/2022;- - -;- - -
NEIL MAGNY;DANIEL RODRIGUEZ;05/11/2022;19 19 19;19 19 19
CARLOS CANDELARIO;JAKE HADLEY;05/11/2022;9 9 9;10 10 10
TAMIRES VIDAL;RAMONA PASCUAL;05/11/2022;- - -;- - -
MARIO BAUTISTA;BENITO LOPEZ;05/11/2022;- - -;- - -
MIRANDA MAVERICK;SHANNA YOUNG;05/11/2022;30 30 30;26 26 26
TAGIR ULANBEKOV;NATE MANESS;05/11/2022;- - -;- - -
GRANT DAWSON;MARK MADSEN;05/11/2022;20 20 20;18 18 18
MARINA RODRIGUEZ;AMANDA LEMOS;05/11/2022;19 18 19;19 20 19
ROMAN DOLIDZE;JOHN ALLAN;05/12/2020;29 30 28;28 27 29
GABRIEL BENITEZ;JUSTIN JAYNES;05/12/2020;- - -;- - -
LOUIS SMOLKA;JOSE QUINONEZ;05/12/2020;9 10 9;10 9 10
OVINCE SAINT PREUX;JAMAHAL HILL;05/12/2020;9 9 9;10 10 10
MATT WIMAN;JORDAN LEAVITT;05/12/2020;- - -;- - -
ILIA TOPURIA;DAMON JACKSON;05/12/2020;- - -;- - -
GIAN VILLANTE;JAKE COLLIER;05/12/2020;27 27 27;30 30 30
JACK HERMANSSON;MARVIN VETTORI;05/12/2020;46 46 45;49 49 49
TIMUR VALIEV;MARTIN DAY;06/02/2021;30 30 30;25 25 26
DIEGO FERREIRA;BENEIL DARIUSH;06/02/2021;28 28 29;29 29 28
ALEXANDRE PANTOJA;MANEL KAPE;06/02/2021;29 30 29;28 27 28
CORY SANDHAGEN;FRANKIE EDGAR;06/02/2021;- - -;- - -
SEUNGWOO CHOI;YOUSSEF ZALAL;06/02/2021;29 30 29;28 27 28
KAROL ROSA;JOSELYNE EDWARDS;06/02/2021;30 30 30;27 27 27
MOLLY MCCANN;LARA PROCOPIO;06/02/2021;27 28 27;29 29 30
MICHAEL JOHNSON;CLAY GUIDA;06/02/2021;27 27 27;30 30 30
ODE OSBOURNE;JEROME RIVERA;06/02/2021;- - -;- - -
ALISTAIR OVEREEM;ALEXANDER VOLKOV;06/02/2021;9 9 9;10 10 10
MIKE RODRIGUEZ;DANILO MARQUES;06/02/2021;9 9 9;10 10 10
DEVONTE SMITH;JUSTIN JAYNES;06/02/2021;10 10 10;9 9 9
JAN BLACHOWICZ;ISRAEL ADESANYA;06/03/2021;49 49 49;45 46 45
AMANDA NUNES;MEGAN ANDERSON;06/03/2021;- - -;- - -
UROS MEDIC;AALON CRUZ;06/03/2021;- - -;- - -
LIVINHA SOUZA;AMANDA LEMOS;06/03/2021;- - -;- - -
TIM ELLIOTT;JORDAN ESPINOSA;06/03/2021;30 30 30;27 27 25
ISLAM MAKHACHEV;DREW DOBER;06/03/2021;20 20 20;18 17 18
PETR YAN;ALJAMAIN STERLING;06/03/2021;29 29 28;28 28 29
ROGERIO BONTORIN;KAI KARA-FRANCE;06/03/2021;- - -;- - -
MARIO BAUTISTA;TREVIN JONES;06/03/2021;9 10 9;10 9 10
KENNEDY NZECHUKWU;CARLOS ULBERG;06/03/2021;9 9 9;10 10 10
SEAN BRADY;JAKE MATTHEWS;06/03/2021;20 20 20;17 18 18
JOSEPH BENAVIDEZ;ASKAR ASKAROV;06/03/2021;27 26 27;30 30 30
SONG YADONG;KYLER PHILLIPS;06/03/2021;28 28 28;29 29 29
THIAGO SANTOS;ALEKSANDAR RAKIC;06/03/2021;28 28 27;29 29 30
DOMINICK CRUZ;CASEY KENNEY;06/03/2021;28 29 30;29 28 27
DAN ARGUETA;JEAN MATSUMOTO;06/04/2024;10 10 10;9 9 9
ALEXANDER HERNANDEZ;DAMON JACKSON;06/04/2024;28 28 30;29 29 27
BRENDAN ALLEN;CHRIS CURTIS;06/04/2024;47 48 49;48 47 46
IGNACIO BAHAMONDES;CHRISTOS GIAGOS;06/04/2024;- - -;- - -
MORGAN CHARRIERE;CHEPE MARISCAL;06/04/2024;28 30 28;29 27 29
PEDRO FALCAO;VICTOR HUGO;06/04/2024;28 27 28;29 30 29
TREVOR PEEK;CHARLIE CAMPBELL;06/04/2024;27 27 27;30 30 30
DYLAN BUDKA;CESAR ALMEIDA;06/04/2024;10 10 10;9 9 9
MELISSA MULLINS;NORA CORNOLLE;06/04/2024;9 10 9;10 9 10
COURT MCGEE;ALEX MORONO;06/04/2024;28 28 28;29 29 29
NORMA DUMONT;GERMAINE DE RANDAMIE;06/04/2024;29 29 29;28 28 28
VALTER WALKER;LUKASZ BRZESKI;06/04/2024;28 28 28;29 29 29
ALJAMAIN STERLING;HENRY CEJUDO;06/05/2023;47 48 48;48 47 47
BELAL MUHAMMAD;GILBERT BURNS;06/05/2023;50 49 49;45 46 46
MOVSAR EVLOEV;DIEGO LOPES;06/05/2023;29 29 30;28 28 27
JESSICA ANDRADE;YAN XIAONAN;06/05/2023;- -;- -
KENNEDY NZECHUKWU;DEVIN CLARK;06/05/2023;10 10 10;9 9 9
KHAOS WILLIAMS;ROLANDO BEDOYA;06/05/2023;29 29 27;28 28 30
DREW DOBER;MATT FREVOLA;06/05/2023;- - -;- - -
KRON GRACIE;CHARLES JOURDAIN;06/05/2023;27 27 27;30 30 30
BRAXTON SMITH;PARKER PORTER;06/05/2023;- -;- -
MARINA RODRIGUEZ;VIRNA JANDIROBA;06/05/2023;28 28 27;29 29 30
PHIL HAWES;IKRAM ALISKEROV;06/05/2023;- - -;- - -
JOSEPH HOLMES;CLAUDIO RIBEIRO;06/05/2023;9 9 9;10 10 10
MAYRA BUENO SILVA;STEPHANIE EGGER;06/08/2022;- - -;- - -
CORY MCKENNA;MIRANDA GRANGER;06/08/2022;10 10 10;9 9 9
BRYAN BATTLE;TAKASHI SATO;06/08/2022;- - -;- - -
SAM ALVEY;MICHAL OLEKSIEJCZUK;06/08/2022;- - -;- - -
AUGUSTO SAKAI;SERGHEI SPIVAC;06/08/2022;9 9 9;10 10 10
TERRANCE MCKINNEY;ERICK GONZALEZ;06/08/2022;- - -;- - -
VICENTE LUQUE;GEOFF NEAL;06/08/2022;18 18 17;20 20 20
THIAGO SANTOS;JAMAHAL HILL;06/08/2022;29 29 28;28 28 29
MOHAMMED USMAN;ZAC PAUGA;06/08/2022;9 10 9;10 9 10
BROGAN WALKER;JULIANA MILLER;06/08/2022;18 18 18;20 20 20
PHIL HAWES;CHRIS CURTIS;06/11/2021;- - -;- - -
AL IAQUINTA;KING GREEN;06/11/2021;- - -;- - -
ROSE NAMAJUNAS;ZHANG WEILI;06/11/2021;49 48 47;46 47 48
KAMARU USMAN;COLBY COVINGTON;06/11/2021;48 48 49;47 47 46
MELSIK BAGHDASARYAN;BRUNO SOUZA;06/11/2021;29 29 29;28 28 28
CJ VERGARA;ODE OSBOURNE;06/11/2021;28 28 28;29 29 29
SHANE BURGOS;BILLY QUARANTILLO;06/11/2021;29 29 29;28 28 28
IAN MACHADO GARRY;JORDAN WILLIAMS;06/11/2021;- - -;- - -
EDMEN SHAHBAZYAN;NASSOURDINE IMAVOV;06/11/2021;10 10 10;9 10 9
FRANKIE EDGAR;MARLON VERA;06/11/2021;20 19 19;18 19 19
GIAN VILLANTE;CHRIS BARNETT;06/11/2021;10 10 10;9 9 9
JUSTIN GAETHJE;MICHAEL CHANDLER;06/11/2021;29 30 29;28 27 28
ALEX PEREIRA;ANDREAS MICHAILIDIS;06/11/2021;9 9 9;10 10 10
DUSTIN JACOBY;JOHN ALLAN;06/11/2021;29 29 30;28 28 27
BRANDON ROYVAL;MATT SCHNELL;07/05/2022;- - -;- - -
JOURNEY NEWSON;FERNIE GARCIA;07/05/2022;30 30 29;27 27 28
ARIANE CARNELOSSI;LOOPY GODINEZ;07/05/2022;26 26 27;30 30 30
MACY CHIASSON;NORMA DUMONT;07/05/2022;30 28 30;27 29 27
TRACY CORTEZ;MELISSA GATTO;07/05/2022;29 29 29;28 28 28
RANDY BROWN;KHAOS WILLIAMS;07/05/2022;29 29 28;28 28 29
FRANCISCO TRINALDO;DANNY ROBERTS;07/05/2022;29 30 30;28 26 27
KLEYDSON RODRIGUES;CJ VERGARA;07/05/2022;28 29 28;29 28 29
ROSE NAMAJUNAS;CARLA ESPARZA;07/05/2022;48 46 47;47 49 48
CHARLES OLIVEIRA;JUSTIN GAETHJE;07/05/2022;- - -;- - -
MICHAEL CHANDLER;TONY FERGUSON;07/05/2022;9 9 9;10 10 10
MAURICIO RUA;OVINCE SAINT PREUX;07/05/2022;29 28 27;28 29 30
BLAGOY IVANOV;MARCOS ROGERIO DE LIMA;07/05/2022;29 29 29;28 28 28
ANDRE FIALHO;CAMERON VANCAMP;07/05/2022;- - -;- - -
JOSE ALDO;PEDRO MUNHOZ;07/08/2021;30 30 30;27 27 27
MICHAEL CHIESA;VICENTE LUQUE;07/08/2021;- - -;- - -
DERRICK LEWIS;CIRYL GANE;07/08/2021;18 18 18;20 20 20
ALONZO MENIFIELD;ED HERMAN;07/08/2021;30 30 30;27 27 27
KAROLINA KOWALKIEWICZ;JESSICA PENNE;07/08/2021;- - -;- - -
VINCE MORALES;DRAKO RODRIGUEZ;07/08/2021;30 29 29;27 28 28
KING GREEN;RAFAEL FIZIEV;07/08/2021;28 28 27;29 29 30
MANEL KAPE;ODE OSBOURNE;07/08/2021;- - -;- - -
SONG YADONG;CASEY KENNEY;07/08/2021;30 29 28;27 28 29
TECIA PENNINGTON;ANGELA HILL;07/08/2021;30 29 30;27 28 27
MILES JOHNS;ANDERSON DOS SANTOS;07/08/2021;20 20 20;18 18 18
JOHNNY MUNOZ;JAMEY SIMMONS;07/08/2021;10 10 10;9 9 9
VICTORIA LEONARDO;MELISSA GATTO;07/08/2021;18 19 18;20 19 20
TREVOR PEEK;YANAL ASHMOUZ;07/09/2024;28 27 28;29 30 29
RONGZHU;CHRIS PADILLA;07/09/2024;9 9 10;10 10 9
ZYGIMANTAS RAMASKA;NATHAN FLETCHER;07/09/2024;10 9 10;9 10 9
ANDRE PETROSKI;DYLAN BUDKA;07/09/2024;30 30 30;27 27 27
JAQUELINE AMORIM;VANESSA DEMOPOULOS;07/09/2024;- - -;- - -
MATT SCHNELL;CODY DURDEN;07/09/2024;9 9 10;10 10 9
STEVE GARCIA;KYLE NELSON;07/09/2024;- - -;- - -
YIZHA;GABRIEL SANTOS;07/09/2024;26 26 27;30 30 30
GILBERT BURNS;SEAN BRADY;07/09/2024;45 46 45;50 49 50
ISAAC DULGARIAN;BRENDON MAROTTE;07/09/2024;10 10 10;8 9 8
FELIPE DOS SANTOS;ANDRE LIMA;07/09/2024;28 28 27;29 29 30
JESSICA ANDRADE;NATALIA SILVA;07/09/2024;27 27 27;30 30 30
ALEXANDER HERNANDEZ;BILL ALGEO;07/10/2023;27 27 27;30 30 30
DREW DOBER;RICKY GLENN;07/10/2023;- - -;- - -
JOE PYFER;ABDUL RAZAK ALHASSAN;07/10/2023;10 10 10;9 9 9
ALEX MORONO;JOAQUIN BUCKLEY;07/10/2023;27 26 27;30 30 30
GRANT DAWSON;KING GREEN;07/10/2023;- - -;- - -
MONTANA DE LA ROSA;JJ ALDRICH;07/10/2023;27 27 27;30 30 30
NATE MANESS;MATEUS MENDONCA;07/10/2023;- - -;- - -
KAROLINA KOWALKIEWICZ;DIANA BELBITA;07/10/2023;30 30 30;27 27 27
VANESSA DEMOPOULOS;KANAKO MURATA;07/10/2023;29 29 29;28 28 28
AORIQILENG;JOHNNY MUNOZ;07/10/2023;29 29 29;28 28 28
ANDREI ARLOVSKI;TANNER BOSER;07/11/2020;29 29 29;28 28 28
RAONI BARCELOS;KHALID TAHA;07/11/2020;30 30 30;27 27 27
TREVIN GILES;BEVON LEWIS;07/11/2020;20 20 20;18 18 18
CLAUDIA GADELHA;YAN XIAONAN;07/11/2020;28 28 28;29 29 29
DARREN ELKINS;EDUARDO GARAGORRI;07/11/2020;20 19 19;18 19 19
MAX GRIFFIN;RAMIZ BRAHIMAJ;07/11/2020;19 20 20;19 18 18
ALEXANDR ROMANOV;MARCOS ROGERIO DE LIMA;07/11/2020;- - -;- - -
GIGA CHIKADZE;JAMEY SIMMONS;07/11/2020;- - -;- - -
GUSTAVO LOPEZ;ANTHONY BIRCHAK;07/11/2020;- - -;- - -
THIAGO SANTOS;GLOVER TEIXEIRA;07/11/2020;17 17 17;20 20 20
CHRIS CURTIS;KELVIN GASTELUM;08/04/2023;28 27 28;29 30 29
RAUL ROSAS JR.;CHRISTIAN RODRIGUEZ;08/04/2023;28 27 28;29 29 29
ROB FONT;ADRIAN YANEZ;08/04/2023;- - -;- - -
KEVIN HOLLAND;SANTIAGO PONZINIBBIO;08/04/2023;20 20 20;18 18 18
GILBERT BURNS;JORGE MASVIDAL;08/04/2023;30 29 30;27 28 27
GERALD MEERSCHAERT;JOE PYFER;08/04/2023;- - -;- - -
MICHELLE WATERSON-GOMEZ;LUANA PINHEIRO;08/04/2023;28 28 29;29 29 28
ALEX PEREIRA;ISRAEL ADESANYA;08/04/2023;9 9 9;10 10 10
CYNTHIA CALVILLO;LOOPY GODINEZ;08/04/2023;29 28 27;28 29 30
IGNACIO BAHAMONDES;TREY OGDEN;08/04/2023;30 29 30;27 28 27
JAQUELINE AMORIM;SAM HUGHES;08/04/2023;28 28 28;29 29 29
SHAYILAN NUERDANBIEKE;STEVE GARCIA;08/04/2023;10 10 10;9 9 9
JUNYONG PARK;TAFON NCHUKWI;08/05/2021;28 29 30;28 26 25
CHRISTIAN AGUILERA;CARLSTON HARRIS;08/05/2021;- - -;- - -
PHIL HAWES;KYLE DAUKAUS;08/05/2021;30 30 29;26 26 27
MARINA RODRIGUEZ;MICHELLE WATERSON-GOMEZ;08/05/2021;48 49 49;47 46 46
LUDOVIT KLEIN;MICHAEL TRIZANO;08/05/2021;28 28 27;29 29 30
DIEGO FERREIRA;GREGOR GILLESPIE;08/05/2021;10 10 10;9 9 9
MAURICE GREENE;MARCOS ROGERIO DE LIMA;08/05/2021;26 27 26;30 30 30
NEIL MAGNY;GEOFF NEAL;08/05/2021;29 29 30;28 28 27
DONALD CERRONE;ALEX MORONO;08/05/2021;- - -;- - -
DOMINICK REYES;DUSTIN JACOBY;08/06/2024;- - -;- - -
RAUL ROSAS JR.;RICKY TURCIOS;08/06/2024;9 10 9;10 9 10
JULIAN MARQUEZ;ZACHARY REESE;08/06/2024;- - -;- - -
BRUNNO FERREIRA;DUSTIN STOLTZFUS;08/06/2024;- - -;- - -
JARED CANNONIER;NASSOURDINE IMAVOV;08/06/2024;29 29 28;28 28 29
BRAD KATONA;JESSE BUTLER;08/06/2024;30 30 30;27 27 26
CHARLES RADTKE;CARLOS PRATES;08/06/2024;- - -;- - -
ANDREA LEE;MONTANA DE LA ROSA;08/06/2024;29 28 28;28 29 29
JOHN CASTANEDA;DANIEL MARCOS;08/06/2024;27 27 27;30 30 30
RAYANNE DOS SANTOS;PUJA TOMAR;08/06/2024;27 30 28;30 27 29
EDUARDA MOURA;DENISE GOMES;08/06/2024;29 27 27;28 30 30
MIGUEL BAEZA;PUNAHELE SORIANO;08/06/2024;27 25 25;30 30 30
THIAGO MOISES;LUDOVIT KLEIN;08/06/2024;27 27 27;30 30 30
CODY STAMANN;TAYLOR LAPILUS;08/06/2024;27 27 27;30 30 30
ALEXANDER VOLKANOVSKI;YAIR RODRIGUEZ;08/07/2023;20 20 20;18 18 18
ROBERT WHITTAKER;DRICUS DU PLESSIS;08/07/2023;9 9 9;10 10 10
BRANDON MORENO;ALEXANDRE PANTOJA;08/07/2023;49 47 47;46 48 48
JALIN TURNER;DAN HOOKER;08/07/2023;29 28 28;28 29 29
BO NICKAL;VAL WOODBURN;08/07/2023;- - -;- - -
KAMUELA KIRK;ESTEBAN RIBOVICS;08/07/2023;28 28 28;29 29 29
SHANNON ROSS;JESUS AGUILAR;08/07/2023;- - -;- - -
TATSURO TAIRA;EDGAR CHAIREZ;08/07/2023;29 29 29;27 27 27
ROBBIE LAWLER;NIKO PRICE;08/07/2023;- - -;- - -
CAMERON SAAIMAN;TERRENCE MITCHELL;08/07/2023;- - -;- - -
VITOR PETRINO;MARCIN PRACHNIO;08/07/2023;20 20 20;18 18 18
YAZMIN JAUREGUI;DENISE GOMES;08/07/2023;- - -;- - -
JIMMY CRUTE;ALONZO MENIFIELD;08/07/2023;9 9 9;10 10 10
PEDRO MUNHOZ;KYLER PHILLIPS;09/03/2024;27 27 27;30 30 30
ION CUTELABA;PHILIPE LINS;09/03/2024;28 28 28;29 29 29
ROBELIS DESPAIGNE;JOSH PARISIAN;09/03/2024;- - -;- - -
MICHEL PEREIRA;MICHAL OLEKSIEJCZUK;09/03/2024;- - -;- - -
JOANNE WOOD;MARYNA MOROZ;09/03/2024;28 29 29;29 28 28
MATEUSZ GAMROT;RAFAEL DOS ANJOS;09/03/2024;29 30 29;28 27 28
KATLYN CERMINARA;MAYCEE BARBER;09/03/2024;27 28 27;30 29 30
CJ VERGARA;ASU ALMABAYEV;09/03/2024;27 27 27;30 30 30
GILBERT BURNS;JACK DELLA MADDALENA;09/03/2024;20 20 19;18 18 19
KEVIN HOLLAND;MICHAEL PAGE;09/03/2024;28 28 28;29 29 29
PETR YAN;SONG YADONG;09/03/2024;29 29 29;28 28 28
CURTIS BLAYDES;JAILTON ALMEIDA;09/03/2024;9 9 9;10 10 10
DUSTIN POIRIER;BENOIT SAINT DENIS;09/03/2024;9 9 9;10 10 10
SEAN O'MALLEY;MARLON VERA;09/03/2024;50 50 50;45 44 45
JULIO ARCE;DANIEL SANTOS;09/04/2022;30 29 30;27 28 27
PIERA RODRIGUEZ;KAY HANSEN;09/04/2022;29 29 29;28 28 28
ALEXANDER VOLKANOVSKI;CHAN SUNG JUNG;09/04/2022;30 30 30;26 26 26
ALJAMAIN STERLING;PETR YAN;09/04/2022;48 47 48;47 48 47
MACKENZIE DERN;TECIA PENNINGTON;09/04/2022;29 29 28;28 28 29
GILBERT BURNS;KHAMZAT CHIMAEV;09/04/2022;28 28 28;29 29 29
ANTHONY HERNANDEZ;JOSH FREMD;09/04/2022;30 29 30;27 28 27
ASPEN LADD;RAQUEL PENNINGTON;09/04/2022;28 28 28;29 29 29
IAN MACHADO GARRY;DARIAN WEEKS;09/04/2022;29 30 30;28 27 27
VINC PICHEL;MARK MADSEN;09/04/2022;27 28 27;30 29 30
ALEKSEI OLEINIK;JARED VANDERAA;09/04/2022;- - -;- - -
MICKEY GALL;MIKE MALOTT;09/04/2022;- - -;- - -
ANTONINA SHEVCHENKO;CORTNEY CASEY;09/07/2022;29 29 28;28 28 29
CAIO BORRALHO;ARMEN PETROSYAN;09/07/2022;29 30 30;28 27 27
DOUGLAS SILVA DE ANDRADE;SAID NURMAGOMEDOV;09/07/2022;27 28 28;30 29 29
DAVID ONAMA;GARRETT ARMFIELD;09/07/2022;10 10 10;9 9 9
RAFAEL DOS ANJOS;RAFAEL FIZIEV;09/07/2022;38 37 37;38 39 39
CODY BRUNDAGE;TRESEAN GORE;09/07/2022;- - -;- - -
MICHAEL JOHNSON;JAMIE MULLARKEY;09/07/2022;29 28 28;28 29 29
KENNEDY NZECHUKWU;KARL ROBERSON;09/07/2022;20 20 20;18 18 18
RONNIE LAWRENCE;SAIDYOKUB KAKHRAMONOV;09/07/2022;27 27 26;30 30 30
AIEMANN ZAHABI;RICKY TURCIOS;09/07/2022;29 29 29;28 28 28
JARED VANDERAA;CHASE SHERMAN;09/07/2022;18 19 19;20 19 19
STEVE GARCIA;CHARLIE ONTIVEROS;09/10/2021;10 10 10;9 9 9
LOOPY GODINEZ;SILVANA GOMEZ JUAREZ;09/10/2021;- - -;- - -
CHARLES ROSA;DAMON JACKSON;09/10/2021;27 28 27;29 29 30
CHRIS GUTIERREZ;FELIPE COLARES;09/10/2021;30 30 28;27 27 29
ALEXANDR ROMANOV;JARED VANDERAA;09/10/2021;10 10 10;9 9 9
SABINA MAZO;MARIYA AGAPOVA;09/10/2021;18 18 18;20 20 20
TIM ELLIOTT;MATHEUS NICOLAU;09/10/2021;28 28 28;29 29 29
MACKENZIE DERN;MARINA RODRIGUEZ;09/10/2021;46 46 46;49 49 49
RANDY BROWN;JARED GOODEN;09/10/2021;30 30 30;27 27 27
LUANA SANTOS;STEPHANIE EGGER;09/12/2023;29 30 29;28 27 28
STEVE GARCIA;MELQUIZAEL COSTA;09/12/2023;9 9 9;10 10 10
TATSURO TAIRA;CARLOS HERNANDEZ;09/12/2023;10 10 10;9 9 8
RAYANNE DOS SANTOS;TALITA ALENCAR;09/12/2023;28 29 28;29 28 29
SONG YADONG;CHRIS GUTIERREZ;09/12/2023;50 50 50;44 45 45
NASRAT HAQPARAST;JAMIE MULLARKEY;09/12/2023;- - -;- - -
ANTHONY SMITH;KHALIL ROUNTREE JR.;09/12/2023;18 18 18;20 20 20
SONG KENAN;KEVIN JOUSSET;09/12/2023;27 27 27;30 30 30
HYUNSUNG PARK;SHANNON ROSS;09/12/2023;10 10 10;9 9 9
JUNYONG PARK;ANDRE MUNIZ;09/12/2023;28 28 29;29 29 28
TIM ELLIOTT;SUMUDAERJI;09/12/2023;- - -;- - -
KHALID TAHA;SERGEY MOROZOV;01/07/2021;27 27 27;30 30 30
SPIKE CARLYLE;RODRIGO NASCIMENTO;01/07/2021;10 10 10;8 9 9
RODOLFO VIEIRA;ARMEN PETROSYAN;10/02/2024;- - -;- - -
ZAC PAUGA;BOGDAN GUSKOV;10/02/2024;- - -;- - -
FERNIE GARCIA;HYDER AMIL;10/02/2024;8 8 8;10 10 10
TREVIN GILES;CARLOS PRATES;10/02/2024;10 10 10;9 9 9
MAX GRIFFIN;JEREMIAH WELLS;10/02/2024;29 28 29;28 29 28
MICHAEL JOHNSON;DARRIUS FLOWERS;10/02/2024;30 30 30;27 27 27
BRAD TAVARES;GREGORY RODRIGUES;10/02/2024;18 19 18;20 19 20
DEVIN CLARK;MARCIN PRACHNIO;10/02/2024;27 27 27;30 30 30
DANIEL MARCOS;AORIQILENG;10/02/2024;10 10 10;9 9 9
JACK HERMANSSON;JOE PYFER;10/02/2024;48 48 48;47 47 47
ROBERT BRYCZEK;IHOR POTIERIA;10/02/2024;27 28 27;30 29 30
DAN IGE;ANDRE FILI;10/02/2024;- - -;- - -
LOMA LOOKBOONMEE;BRUNA BRASIL;10/02/2024;29 29 29;28 28 28
BOLAJI OKI;TIMMY CUAMBA;10/02/2024;29 29 28;28 28 29
LUIS SALDANA;JORDAN GRIFFIN;10/04/2021;29 29 29;28 28 28
DA WOON JUNG;WILLIAM KNIGHT;10/04/2021;30 30 30;26 26 27
IMPA KASANGANAY;SASHA PALATNIKOV;10/04/2021;10 10 10;9 9 9
HUNTER AZURE;JACK SHORE;10/04/2021;27 27 29;30 30 28
YORGAN DE CASTRO;JARJIS DANHO;10/04/2021;- - -;- - -
SCOTT HOLTZMAN;MATEUSZ GAMROT;10/04/2021;9 9 10;10 10 9
JOHN MAKDESSI;IGNACIO BAHAMONDES;10/04/2021;28 29 30;29 28 27
JIM MILLER;JOE SOLECKI;10/04/2021;28 27 28;29 30 29
MIKE PERRY;DANIEL RODRIGUEZ;10/04/2021;27 27 26;30 30 30
MARVIN VETTORI;KEVIN HOLLAND;10/04/2021;50 50 50;44 44 44
ARNOLD ALLEN;SODIQ YUSUFF;10/04/2021;29 29 29;28 28 28
NINA NUNES;MACKENZIE DERN;10/04/2021;- - -;- - -
SAM ALVEY;JULIAN MARQUEZ;10/04/2021;9 9 9;10 10 10
MIRANDA MAVERICK;JASMINE JASUDAVICIUS;10/06/2023;28 28 28;29 29 29
NASSOURDINE IMAVOV;CHRIS CURTIS;10/06/2023;10 10 10;9 9 9
DAVID DVORAK;STEVE ERCEG;10/06/2023;28 27 28;29 30 29
DAN IGE;NATE LANDWEHR;10/06/2023;29 29 30;28 28 27
MARC-ANDRE BARRIAULT;ERYK ANDERS;10/06/2023;30 30 30;27 27 27
DIANA BELBITA;MARIA OLIVEIRA;10/06/2023;30 30 29;27 27 28
MIKE MALOTT;ADAM FUGITT;10/06/2023;10 10 10;9 9 9
KYLE NELSON;BLAKE BILDER;10/06/2023;30 30 29;27 27 28
AIEMANN ZAHABI;AORIQILENG;10/06/2023;- - -;- - -
CHARLES OLIVEIRA;BENEIL DARIUSH;10/06/2023;- - -;- - -
AMANDA NUNES;IRENE ALDANA;10/06/2023;50 50 50;44 44 43
GILBERT BURNS;STEPHEN THOMPSON;10/07/2021;29 29 29;28 28 28
TAI TUIVASA;GREG HARDY;10/07/2021;- - -;- - -
SEAN O'MALLEY;KRIS MOUTINHO;10/07/2021;20 20 20;17 17 17
IRENE ALDANA;YANA SANTOS;10/07/2021;- - -;- - -
RYAN HALL;ILIA TOPURIA;10/07/2021;- - -;- - -
TREVIN GILES;DRICUS DU PLESSIS;10/07/2021;9 9 9;10 10 10
NIKO PRICE;MICHEL PEREIRA;10/07/2021;28 28 28;29 29 29
CARLOS CONDIT;MAX GRIFFIN;10/07/2021;28 28 27;29 29 30
ZHALGAS ZHUMAGULOV;JEROME RIVERA;10/07/2021;- - -;- - -
OMARI AKHMEDOV;BRAD TAVARES;10/07/2021;29 28 28;28 29 29
JENNIFER MAIA;JESSICA EYE;10/07/2021;29 30 29;28 27 28
DUSTIN POIRIER;CONOR MCGREGOR;10/07/2021;10 10 10;9 8 8
STEPHANIE LUCIANO;TALITA ALENCAR;10/08/2024;30 30 30;27 27 27
YOUSSEF ZALAL;JARNO ERRENS;10/08/2024;- - -;- - -
MARCIN TYBURA;SERGHEI SPIVAC;10/08/2024;- - -;- - -
DAMON JACKSON;CHEPE MARISCAL;10/08/2024;26 25 25;30 30 30
CHRIS GUTIERREZ;QUANG LE;10/08/2024;29 29 29;28 28 28
DANNY BARLOW;NIKOLAY VERETENNIKOV;10/08/2024;29 27 29;28 30 28
KAROL ROSA;PANNIE KIANZAD;10/08/2024;30 30 30;27 27 27
JHONATA DINIZ;KARL WILLIAMS;10/08/2024;29 30 29;28 27 28
TOSHIOMI KAZAMA;CHARALAMPOS GRIGORIOU;10/08/2024;10 10 10;9 9 9
YANA SANTOS;CHELSEA CHANDLER;10/08/2024;30 29 29;27 28 28
HAKEEM DAWODU;JULIAN EROSA;10/09/2022;27 27 27;30 30 30
JOHNNY WALKER;ION CUTELABA;10/09/2022;- - -;- - -
JAILTON ALMEIDA;ANTON TURKALJ;10/09/2022;- - -;- - -
NATE DIAZ;TONY FERGUSON;10/09/2022;30 30 28;27 27 29
KHAMZAT CHIMAEV;KEVIN HOLLAND;10/09/2022;- - -;- - -
DENIS TIULIULIN;JAMIE PICKETT;10/09/2022;9 10 10;10 9 9
MELISSA MARTINEZ;ELISE REED;10/09/2022;28 28 28;29 29 29
CHAD ANHELIGER;ALATENGHEILI;10/09/2022;27 27 27;30 30 30
JAKE COLLIER;CHRIS BARNETT;10/09/2022;10 10 10;8 8 9
NORMA DUMONT;DANYELLE WOLF;10/09/2022;30 30 30;27 26 27
DARIAN WEEKS;YOHAN LAINESSE;10/09/2022;28 29 28;29 28 29
IRENE ALDANA;MACY CHIASSON;10/09/2022;19 19 19;19 19 19
